x,y
635.821,80.8634,1
646.388,78.6259,1
657.22,76.7882,1
668.337,75.462,1
679.532,74.6656,1
690.66,74.2928,1
701.324,74.2151,1
711.728,74.3338,1
722.106,74.6029,1
732.75,75.0144,1
743.644,75.579,1
754.658,76.3136,1
765.622,77.241,1
776.428,78.3941,1
787.131,79.8315,1
797.864,81.6161,1
808.785,83.802,1
819.804,86.3826,1
830.753,89.3263,1
841.422,92.5875,0.980556
851.709,96.1354,0.961409
861.599,99.9341,0.942833
871.236,103.935,0.924635
880.759,108.045,0.90667
890.246,112.262,0.888842
899.438,116.818,0.871407
907.986,122.318,0.854337
915.499,129.436,0.837194
921.637,138.138,0.819834
926.219,147.821,0.802687
929.263,157.389,0.786931
931.188,166.794,0.772174
932.421,176.279,0.757793
933.314,186.327,0.742993
934.005,197.032,0.727697
934.548,208.326,0.712095
934.962,220.046,0.696511
935.264,232.028,0.681246
935.472,244.108,0.66657
935.604,256.121,0.652717
935.679,267.904,0.639878
935.715,279.293,0.628198
935.729,290.122,0.617778
935.739,300.229,0.608674
935.759,309.329,0.601001
935.807,317.471,0.594567
935.857,323.063,0.590385
936,332,0.584112
936.123,339.691,0.579121
936.246,347.383,0.574512
936.369,355.074,0.57029
936.492,362.765,0.566459
936.615,370.457,0.563021
936.738,378.148,0.559981
936.861,385.839,0.55734
936.983,393.531,0.555102
937.106,401.222,0.553267
937.229,408.913,0.551839
937.352,416.605,0.550818
937.475,424.296,0.550204
937.598,431.987,0.55
